,user,time_stamp,cate_id,exposure_count
0,5,2017-05-10,133.0,1
1,5,2017-05-10,5281.0,1
2,5,2017-05-10,9709.0,1
3,71,2017-05-06,4517.0,1
4,71,2017-05-07,4520.0,1
5,88,2017-05-06,4282.0,1
6,88,2017-05-06,6261.0,2
7,88,2017-05-08,1665.0,3
8,308,2017-05-06,4385.0,2
9,308,2017-05-06,4505.0,1
10,308,2017-05-06,6341.0,1
11,308,2017-05-06,12709.0,2
12,308,2017-05-08,6433.0,1
13,308,2017-05-09,859.0,1
14,308,2017-05-09,6261.0,1
15,361,2017-05-09,859.0,1
16,361,2017-05-09,6185.0,2
17,594,2017-05-06,3786.0,1
18,594,2017-05-06,3787.0,2
19,594,2017-05-06,4305.0,1
20,594,2017-05-06,5868.0,6
21,594,2017-05-06,5920.0,1
22,594,2017-05-06,5957.0,1
23,594,2017-05-06,5993.0,1
24,594,2017-05-08,4282.0,2
25,594,2017-05-08,5868.0,16
26,594,2017-05-08,5957.0,1
27,594,2017-05-08,6261.0,3
28,594,2017-05-09,3786.0,3
29,594,2017-05-09,4280.0,2
30,594,2017-05-09,4282.0,1
31,594,2017-05-09,4284.0,1
32,594,2017-05-09,4520.0,1
33,594,2017-05-09,5868.0,5
34,594,2017-05-09,5920.0,1
35,594,2017-05-09,6261.0,4
36,594,2017-05-09,6300.0,1
37,594,2017-05-11,3786.0,1
38,594,2017-05-11,3787.0,1
39,594,2017-05-11,4282.0,1
40,594,2017-05-11,4520.0,2
41,594,2017-05-11,4571.0,1
42,594,2017-05-11,5868.0,6
43,594,2017-05-11,5993.0,1
44,594,2017-05-11,6261.0,2
45,594,2017-05-11,6300.0,2
46,594,2017-05-12,210.0,1
47,594,2017-05-12,2240.0,2
48,594,2017-05-12,3786.0,3
49,594,2017-05-12,3787.0,1
50,594,2017-05-12,4281.0,1
51,594,2017-05-12,4282.0,1
52,594,2017-05-12,4384.0,3
53,594,2017-05-12,4520.0,6
54,594,2017-05-12,4571.0,5
55,594,2017-05-12,5779.0,4
56,594,2017-05-12,5868.0,14
57,594,2017-05-12,5920.0,1
58,594,2017-05-12,5957.0,1
59,594,2017-05-12,5993.0,4
60,594,2017-05-12,6261.0,18
61,594,2017-05-13,4282.0,1
62,594,2017-05-13,5868.0,5
63,594,2017-05-13,6261.0,1
64,602,2017-05-12,4267.0,2
65,602,2017-05-12,4282.0,1
66,602,2017-05-13,4267.0,1
67,602,2017-05-13,4282.0,1
68,602,2017-05-13,4283.0,1
69,1014,2017-05-07,6261.0,2
70,1014,2017-05-07,7554.0,1
71,1014,2017-05-09,912.0,1
72,1014,2017-05-09,6261.0,2
73,1014,2017-05-10,4281.0,3
74,1014,2017-05-11,4281.0,3
75,1014,2017-05-13,912.0,1
76,1041,2017-05-07,4565.0,1
77,1041,2017-05-07,5204.0,1
78,1041,2017-05-07,6818.0,1
79,1041,2017-05-07,8648.0,1
80,1041,2017-05-07,8649.0,1
81,1041,2017-05-08,12410.0,1
82,1041,2017-05-13,8649.0,1
83,1220,2017-05-07,2468.0,3
84,1220,2017-05-08,1157.0,3
85,1220,2017-05-11,7274.0,1
86,1249,2017-05-10,1665.0,1
87,1249,2017-05-10,4281.0,2
88,1249,2017-05-13,4281.0,2
89,1293,2017-05-06,4520.0,1
90,1293,2017-05-06,6426.0,2
91,1293,2017-05-08,4280.0,1
92,1293,2017-05-08,4282.0,1
93,1293,2017-05-08,4520.0,1
94,1293,2017-05-08,6183.0,1
95,1293,2017-05-11,856.0,4
96,1293,2017-05-11,6183.0,1
97,1293,2017-05-11,6426.0,1
98,1293,2017-05-12,5510.0,3
99,1293,2017-05-13,856.0,2
100,1293,2017-05-13,4753.0,1
101,1447,2017-05-06,2503.0,1
102,1447,2017-05-06,11451.0,1
103,1447,2017-05-08,1090.0,1
104,1447,2017-05-08,11451.0,2
105,1447,2017-05-09,415.0,1
106,1447,2017-05-09,9652.0,1
107,1458,2017-05-10,1325.0,1
108,1458,2017-05-10,1483.0,3
109,1458,2017-05-10,4282.0,3
110,1458,2017-05-10,6426.0,12
111,1759,2017-05-06,1665.0,3
112,1759,2017-05-06,4281.0,1
113,1759,2017-05-06,4283.0,2
114,1759,2017-05-06,4284.0,7
115,1759,2017-05-06,4520.0,4
116,1759,2017-05-06,5539.0,1
117,1759,2017-05-06,5920.0,9
118,1759,2017-05-06,6261.0,8
119,1759,2017-05-06,6423.0,4
120,1759,2017-05-06,6426.0,7
121,1759,2017-05-09,4281.0,1
122,1759,2017-05-09,4283.0,2
123,1759,2017-05-09,4520.0,4
124,1759,2017-05-09,5920.0,8
125,1759,2017-05-09,6261.0,6
126,1759,2017-05-09,6423.0,2
127,1759,2017-05-09,6426.0,1
128,1759,2017-05-09,6735.0,1
129,1759,2017-05-09,6736.0,1
130,1759,2017-05-10,1665.0,1
131,1759,2017-05-10,4281.0,1
132,1759,2017-05-10,4283.0,2
133,1759,2017-05-10,4284.0,1
134,1759,2017-05-10,4292.0,1
135,1759,2017-05-10,4520.0,15
136,1759,2017-05-10,5539.0,1
137,1759,2017-05-10,5920.0,1
138,1759,2017-05-10,6261.0,11
139,1759,2017-05-10,7205.0,1
140,1759,2017-05-12,824.0,1
141,1759,2017-05-12,1665.0,1
142,1759,2017-05-12,4283.0,3
143,1759,2017-05-12,4284.0,2
144,1759,2017-05-12,4520.0,15
145,1759,2017-05-12,5920.0,1
146,1759,2017-05-12,6251.0,4
147,1759,2017-05-12,6261.0,4
148,1759,2017-05-12,6432.0,1
149,1759,2017-05-12,6735.0,1
150,1759,2017-05-13,4281.0,1
151,1759,2017-05-13,4283.0,1
152,1759,2017-05-13,4284.0,4
153,1759,2017-05-13,4505.0,7
154,1759,2017-05-13,4520.0,3
155,1759,2017-05-13,6261.0,14
156,1759,2017-05-13,6300.0,1
157,1759,2017-05-13,6423.0,2
158,1759,2017-05-13,6427.0,1
159,1780,2017-05-05,2814.0,1
160,1780,2017-05-05,6158.0,2
161,1780,2017-05-06,1478.0,3
162,1780,2017-05-06,6158.0,2
163,1780,2017-05-07,1478.0,4
164,1780,2017-05-07,6340.0,2
165,1780,2017-05-08,2628.0,1
166,1780,2017-05-08,6961.0,2
167,1780,2017-05-11,4520.0,2
168,1780,2017-05-11,6140.0,1
169,1780,2017-05-11,6158.0,2
170,1780,2017-05-12,45.0,4
171,1780,2017-05-12,1478.0,1
172,1780,2017-05-12,6141.0,1
173,1780,2017-05-12,6158.0,2
174,1780,2017-05-12,6291.0,1
175,1873,2017-05-08,1244.0,1
176,1873,2017-05-08,6554.0,2
177,2017,2017-05-12,862.0,1
178,2017,2017-05-12,7815.0,2
179,2089,2017-05-08,6142.0,2
180,2089,2017-05-08,6158.0,1
181,2089,2017-05-09,6142.0,1
182,2130,2017-05-07,8856.0,2
183,2414,2017-05-05,1665.0,1
184,2414,2017-05-05,4284.0,2
185,2414,2017-05-05,6427.0,1
186,2414,2017-05-06,685.0,1
187,2414,2017-05-06,1665.0,1
188,2414,2017-05-06,4284.0,2
189,2414,2017-05-07,4284.0,1
190,2414,2017-05-08,1665.0,3
191,2414,2017-05-08,4284.0,5
192,2414,2017-05-08,4360.0,1
193,2414,2017-05-10,1665.0,1
194,2414,2017-05-10,4280.0,1
195,2414,2017-05-10,6261.0,1
196,2414,2017-05-11,1665.0,1
197,2414,2017-05-11,4280.0,1
198,2414,2017-05-11,6261.0,1
199,2414,2017-05-12,1665.0,1
200,2414,2017-05-12,4280.0,1
201,2414,2017-05-12,6261.0,4
202,2492,2017-05-10,6554.0,1
203,2492,2017-05-10,6736.0,2
204,2492,2017-05-11,6554.0,1
205,2492,2017-05-11,6736.0,1
206,2492,2017-05-12,6261.0,1
207,2492,2017-05-12,6554.0,1
208,2492,2017-05-12,6736.0,4
209,2531,2017-05-07,6261.0,7
210,2531,2017-05-08,4281.0,1
211,2531,2017-05-08,6261.0,2
212,2531,2017-05-09,6261.0,3
213,2531,2017-05-10,6261.0,3
214,2531,2017-05-12,6261.0,3
215,2531,2017-05-13,4281.0,1
216,2531,2017-05-13,6261.0,7
217,2559,2017-05-11,4385.0,1
218,2559,2017-05-11,6140.0,1
219,2576,2017-05-09,6261.0,1
220,2576,2017-05-09,10924.0,1
221,2576,2017-05-09,10935.0,1
222,2576,2017-05-09,10936.0,1
223,2589,2017-05-06,856.0,2
224,2589,2017-05-06,4283.0,2
225,2589,2017-05-06,6261.0,2
226,2589,2017-05-06,6952.0,1
227,2589,2017-05-06,8877.0,1
228,2589,2017-05-06,11911.0,1
229,2589,2017-05-07,4520.0,3
230,2589,2017-05-07,4521.0,1
231,2589,2017-05-07,6261.0,2
232,2589,2017-05-08,4283.0,2
233,2589,2017-05-08,6261.0,1
234,2589,2017-05-08,6426.0,1
235,2589,2017-05-08,6956.0,1
236,2589,2017-05-09,4283.0,1
